Composé;Facteur de conversion
123-TMB;5,008
124-TMB;5,008
1-2DICHLOROETHANE;4,123
135-TMB;5,008
1-3-BUTADIENE;2,254
1-3-DICL-BENZENE;6,125
1-4-DICL-BENZENE;6,125
1-BUTENE;2,333
1-HEXENE;3,507
1-ME-NAPHTHALENE;5,925
1-PENTENE;2,915
224-TME-PENTANE;4,759
2-2-DIME-BUTANE;3,582
2-2-DIME-BUTANE;3,591
234-TME-PENTANE;4,76
2-3-DIME-BUTANE;3,582
2-3-DIMEC5+2MEC6;4,175
2-3-DIME-PENTANE;4,175
2-4-DIME-PENTANE;4,175
2-4-DIME-PENTANE;4,175
2-ME-1-PENTENE;3,5
2-ME-HEPTANE;4,759
2-ME-HEXANE;4,175
2-ME-NAPHTHALENE;5,925
2-ME-PENTANE;3,591
2-ME-PENTANE;3,591
3-CARENE;
3-ME-HEPTANE;4,759
3-ME-HEXANE;4,175
3-ME-PENTANE;3,591
3-ME-PENTANE;3,591
ACENAPHTHENE;6,425
ACENAPHTHYLENE;6,342
ACETYLENE;1,083
ANTHRACENE;7,425
A-PINENE;5,67
BENZENE;3,255
BENZENE;3,255
B-PINENE;5,67
CIS-2-BUTENE;2,333
CIS-2-PENTENE;2,915
CYCLOHEXANE;3,507
CYCLOHEXANE;3,507
CYCLOPENTANE;2,916
ETHANE;1,25
ETHYLBENZENE;4,424
ETHYLENE;1,169
FLUORANTHENE;8,43
FLUORENE;6,926
I-BUTANE;2,416
I-PENTANE;2,999
I-PROPYLBENZENE;5,008
ISOPRENE;2,838
LIMONENE;5,677
M&P-XYLENES;4,423
M-DIETHYLBENZENE;5,593
ME-CYCLOHEXANE;3,499
ME-CYCLOPENTANE;3,499
ME-CYCLOPENTANE;3,499
M-ETHYLTOLUENE;5,008
NAPHTHALENE;5,34
N-BUTANE;2,416
N-DECANE;5,928
N-DODECANE;7,098
N-EICOSANE;11,77
N-HEPTADECANE;10,02
N-HEPTANE;4,175
N-HEXADECANE;9,43
N-HEXANE;3,583
N-HEXANE;3,583
N-NONADECANE;11,19
N-NONANE;5,342
N-OCTADECANE;10,6
N-OCTANE;4,76
N-PENTADECANE;8,85
N-PENTANE;2,999
N-PROPYLBENZENE;5,008
N-TETRADECANE;8,267
N-TRIDECANE;7,683
N-UNDECANE;6,513
O-ETHYLTOLUENE;5,008
O-XYLENE;4,423
P-DIETHYLBENZENE;5,593
P-ETHYLTOLUENE;5,008
PHENANTHRENE;7,43
PROPANE;1,833
PROPENE;1,749
PYRENE;8,43
STYRENE;4,34
TETRACHLOROETHENE;6,91
TOLUENE;3,83
TRANS-2-BUTENE;2,333
TRANS-2-PENTENE;2,916
TRICHLOROETHENE;5,475
VINYLCHLORIDE;2,59
